sample_id,deg_CmpBst_s_mapEff_in,deg_CmpBst_s_mapWc_in,deg_CmpFan_s_mapEff_in,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_CmpH_s_mapWc_in,deg_TrbH_s_mapEff_in,deg_TrbH_s_mapWc_in,deg_TrbL_s_mapEff_in,deg_TrbL_s_mapWc_in,CRUISE_DECKSMRHPC_Tin,CRUISE_DECKSMRLPT_Tin,CRUISE_DECKSMRHPC_Pout_st,CRUISE_DTAMB,CRUISE_ALT,CRUISE_MACH,CRUISE_COMMAND,TAKEOFF_DECKSMRHPC_Tin,TAKEOFF_DECKSMRLPT_Tin,TAKEOFF_DECKSMRHPC_Pout_st,TAKEOFF_DTAMB,TAKEOFF_ALT,TAKEOFF_MACH,TAKEOFF_COMMAND,CLIMB1_DECKSMRHPC_Tin,CLIMB1_DECKSMRLPT_Tin,CLIMB1_DECKSMRHPC_Pout_st,CLIMB1_DTAMB,CLIMB1_ALT,CLIMB1_MACH,CLIMB1_COMMAND,CLIMB2_DECKSMRHPC_Tin,CLIMB2_DECKSMRLPT_Tin,CLIMB2_DECKSMRHPC_Pout_st,CLIMB2_DTAMB,CLIMB2_ALT,CLIMB2_MACH,CLIMB2_COMMAND
0,-0.0006118510269651,-0.0001743357602092,3.0930050506553784e-05,-1.2649511611458976e-05,-0.0019430881302427,4.275213364521168e-05,-0.0014632879695675,6.491871044007471e-05,-0.0005549726133051,-1.5193583297183044e-05,336.064216,1123.0515,1377933.09,10.0,35000,0.78,25000,386.542498,1266.6187,3533786.25,15.0,0.0,0.0,120000,362.302913,1153.70583,2315319.9,10.0,15000,0.55,120000,338.169801,1147.52651,1425487.88,10.0,35000,0.78,120000
1,-0.0009231989911781,-0.0003093140883517,-3.1367649259460315e-05,-1.7944420087123565e-05,-0.002769450718139,-7.874391884767651e-06,-0.0021119878903327,5.956813589011687e-05,-0.0008167732847046,-5.319530608772643e-05,336.112322,1124.06859,1377310.24,10.0,35000,0.78,25000,386.618429,1268.55788,3531325.68,15.0,0.0,0.0,120000,362.370427,1155.53273,2313706.92,10.0,15000,0.55,120000,338.212106,1148.42896,1425054.19,10.0,35000,0.78,120000
2,-0.0010316860524796,-0.0004006777627731,-7.626712060444794e-05,-5.620518874619267e-05,-0.0031980154102602,-5.881803344208738e-05,-0.0023999348165512,5.5212628267496105e-05,-0.0009273043599113,-7.174144830999888e-05,336.137598,1124.5448,1377029.31,10.0,35000,0.78,25000,386.651033,1269.44,3529936.57,15.0,0.0,0.0,120000,362.399627,1156.35419,2312740.28,10.0,15000,0.55,120000,338.2285,1148.78361,1424733.02,10.0,35000,0.78,120000
3,-0.0011030664099274,-0.0004534223056641,-9.767835239921516e-05,-9.5325227021635e-05,-0.0034352915345068,-0.0001027778433795,-0.0025920643243727,4.476121041381317e-05,-0.0010464703683947,-0.0001169718485537,336.156448,1124.8583,1376888.68,10.0,35000,0.78,25000,386.672384,1269.99429,3529080.98,15.0,0.0,0.0,120000,362.419114,1156.86639,2312124.13,10.0,15000,0.55,120000,338.240154,1149.00251,1424529.47,10.0,35000,0.78,120000
4,-0.0011670788007452,-0.0004946394286002,-0.0001297582016194,-0.0001074256506658,-0.0036190606128668,-0.0001160869273781,-0.0027996745746706,3.762209453386529e-05,-0.0011653916969647,-0.0001757860554123,336.169406,1125.17329,1376727.87,10.0,35000,0.78,25000,386.691712,1270.55666,3528405.62,15.0,0.0,0.0,120000,362.436512,1157.39613,2311663.21,10.0,15000,0.55,120000,338.250524,1149.27725,1424403.0,10.0,35000,0.78,120000
5,-0.0012290641841411,-0.0005160870754713,-0.0001684092180745,-0.000132999640274,-0.0038089142620456,-0.0001273079991778,-0.0029325080211286,4.68700289659398e-06,-0.0012426979739157,-0.0001920023429331,336.184084,1125.40305,1376679.96,10.0,35000,0.78,25000,386.708867,1270.96475,3527970.07,15.0,0.0,0.0,120000,362.452456,1157.77582,2311341.89,10.0,15000,0.55,120000,338.261072,1149.44843,1424333.43,10.0,35000,0.78,120000
6,-0.0013095790935522,-0.0005473793411459,-0.0001851738096199,-0.0001689020273127,-0.0040372166954299,-0.0001500558334554,-0.0031030521623722,-6.550151444794536e-06,-0.0013182804539903,-0.0002044530164808,336.204766,1125.66676,1376556.41,10.0,35000,0.78,25000,386.731248,1271.44753,3527180.41,15.0,0.0,0.0,120000,362.473378,1158.22334,2310769.34,10.0,15000,0.55,120000,338.27497,1149.61663,1424146.05,10.0,35000,0.78,120000
7,-0.0014229240895796,-0.0006011253796993,-0.0002026802727557,-0.0001737395018586,-0.0042002898595969,-0.0002181085991629,-0.0032331221037579,-3.160377400850406e-05,-0.001424743434121,-0.0002278599890742,336.21618,1125.94519,1376471.37,10.0,35000,0.78,25000,386.74723,1271.8773,3526889.19,15.0,0.0,0.0,120000,362.487802,1158.62915,2310567.12,10.0,15000,0.55,120000,338.286046,1149.88791,1424105.12,10.0,35000,0.78,120000
8,-0.0015552737915434,-0.0006574612463339,-0.0002108390451551,-0.0002014382340991,-0.0043609662609889,-0.000224753155698,-0.0033604358387467,-7.967434558832416e-05,-0.0014714495584608,-0.0002419458510034,336.234699,1126.15742,1376422.44,10.0,35000,0.78,25000,386.766794,1272.23947,3526415.28,15.0,0.0,0.0,120000,362.506003,1158.96445,2310213.92,10.0,15000,0.55,120000,338.299014,1150.02589,1423997.83,10.0,35000,0.78,120000
9,-0.0016044856997773,-0.000736816204082,-0.0002416414016713,-0.00023564671677,-0.004517977380257,-0.000253568610783,-0.0035152878471235,-0.0001024760867869,-0.0015425642997281,-0.0002775072636954,336.245917,1126.40671,1376313.93,10.0,35000,0.78,25000,386.778509,1272.64594,3525761.85,15.0,0.0,0.0,120000,362.51687,1159.33853,2309734.75,10.0,15000,0.55,120000,338.3037,1150.19308,1423818.55,10.0,35000,0.78,120000
