sample_id,deg_CmpBst_s_mapEff_in,deg_CmpBst_s_mapWc_in,deg_CmpFan_s_mapEff_in,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_CmpH_s_mapWc_in,deg_TrbH_s_mapEff_in,deg_TrbH_s_mapWc_in,deg_TrbL_s_mapEff_in,deg_TrbL_s_mapWc_in,CRUISE_DECKSMRHPC_Tin,CRUISE_DECKSMRLPT_Tin,CRUISE_DECKSMRHPC_Pout_st,CRUISE_DTAMB,CRUISE_ALT,CRUISE_MACH,CRUISE_COMMAND,TAKEOFF_DECKSMRHPC_Tin,TAKEOFF_DECKSMRLPT_Tin,TAKEOFF_DECKSMRHPC_Pout_st,TAKEOFF_DTAMB,TAKEOFF_ALT,TAKEOFF_MACH,TAKEOFF_COMMAND,CLIMB1_DECKSMRHPC_Tin,CLIMB1_DECKSMRLPT_Tin,CLIMB1_DECKSMRHPC_Pout_st,CLIMB1_DTAMB,CLIMB1_ALT,CLIMB1_MACH,CLIMB1_COMMAND,CLIMB2_DECKSMRHPC_Tin,CLIMB2_DECKSMRLPT_Tin,CLIMB2_DECKSMRHPC_Pout_st,CLIMB2_DTAMB,CLIMB2_ALT,CLIMB2_MACH,CLIMB2_COMMAND
0,-0.0006118510269651,-0.0001743357602092,3.0930050506553784e-05,-1.2649511611458976e-05,-0.0019430881302427,4.275213364521168e-05,-0.0014632879695675,6.491871044007471e-05,-0.0005549726133051,-1.5193583297183044e-05,336.03528598740155,1123.181670109104,1377498.8377586799,10.0,35000,0.78,25000,386.5085536924189,1267.3782617552233,3531359.5707566068,15.0,0.0,0.0,120000,362.41320950413626,1153.4394408242124,2316811.2896261243,10.0,15000,0.55,120000,338.1230093065799,1147.9689311455377,1426491.9338978787,10.0,35000,0.78,120000
1,-0.0009231989911781,-0.0003093140883517,-3.1367649259460315e-05,-1.7944420087123565e-05,-0.002769450718139,-7.874391884767651e-06,-0.0021119878903327,5.956813589011687e-05,-0.0008167732847046,-5.319530608772643e-05,336.1053185639906,1124.4858583900682,1376808.6877329005,10.0,35000,0.78,25000,386.6648021215879,1267.4949601372941,3531070.0606294693,15.0,0.0,0.0,120000,362.3301586740967,1155.0050081941945,2313709.7659158967,10.0,15000,0.55,120000,338.3317242632969,1148.6321134306,1424663.290206245,10.0,35000,0.78,120000
2,-0.0010316860524796,-0.0004006777627731,-7.626712060444794e-05,-5.620518874619267e-05,-0.0031980154102602,-5.881803344208738e-05,-0.0023999348165512,5.5212628267496105e-05,-0.0009273043599113,-7.174144830999888e-05,336.22478361125616,1123.9495207513457,1377420.804402375,10.0,35000,0.78,25000,386.7258152068517,1269.974423834776,3529966.253230303,15.0,0.0,0.0,120000,362.47049195232387,1156.542753196704,2311967.5712857526,10.0,15000,0.55,120000,338.2519219559723,1148.0646293131795,1424778.5100806311,10.0,35000,0.78,120000
3,-0.0011030664099274,-0.0004534223056641,-9.767835239921516e-05,-9.5325227021635e-05,-0.0034352915345068,-0.0001027778433795,-0.0025920643243727,4.476121041381317e-05,-0.0010464703683947,-0.0001169718485537,336.1362796980949,1123.8816738389805,1377353.5616196399,10.0,35000,0.78,25000,386.75543162440744,1270.7474324248346,3528243.463277175,15.0,0.0,0.0,120000,362.5234696679794,1156.4269128079677,2311809.371853282,10.0,15000,0.55,120000,338.2234034619034,1149.1111310777583,1425679.6755425467,10.0,35000,0.78,120000
4,-0.0011670788007452,-0.0004946394286002,-0.0001297582016194,-0.0001074256506658,-0.0036190606128668,-0.0001160869273781,-0.0027996745746706,3.762209453386529e-05,-0.0011653916969647,-0.0001757860554123,336.2015087344636,1125.3478142815559,1376294.0428351979,10.0,35000,0.78,25000,386.7006894742319,1270.5418844111412,3529117.884635471,15.0,0.0,0.0,120000,362.399751152195,1157.1395222411259,2312089.35663969,10.0,15000,0.55,120000,338.3484945671194,1148.4546809179433,1425415.7390539565,10.0,35000,0.78,120000
5,-0.0012290641841411,-0.0005160870754713,-0.0001684092180745,-0.000132999640274,-0.0038089142620456,-0.0001273079991778,-0.0029325080211286,4.68700289659398e-06,-0.0012426979739157,-0.0001920023429331,336.2645185484011,1125.4585937870245,1376569.6455944534,10.0,35000,0.78,25000,386.6590009265612,1271.2493583787232,3528782.4113299767,15.0,0.0,0.0,120000,362.4250082451902,1158.232389635877,2310585.452790601,10.0,15000,0.55,120000,338.32443693225275,1148.9543711564086,1425852.2956236314,10.0,35000,0.78,120000
6,-0.0013095790935522,-0.0005473793411459,-0.0001851738096199,-0.0001689020273127,-0.0040372166954299,-0.0001500558334554,-0.0031030521623722,-6.550151444794536e-06,-0.0013182804539903,-0.0002044530164808,336.1927825609261,1125.8766446117932,1376779.029481964,10.0,35000,0.78,25000,386.6802652464539,1270.6003966743572,3527434.2264765496,15.0,0.0,0.0,120000,362.47439379991175,1159.0496944897204,2311323.196166003,10.0,15000,0.55,120000,338.3511531888239,1150.0160220627474,1424280.0767927468,10.0,35000,0.78,120000
7,-0.0014229240895796,-0.0006011253796993,-0.0002026802727557,-0.0001737395018586,-0.0042002898595969,-0.0002181085991629,-0.0032331221037579,-3.160377400850406e-05,-0.001424743434121,-0.0002278599890742,336.1791393113354,1125.4626538284333,1376503.0608056365,10.0,35000,0.78,25000,386.727649009464,1272.0617305311766,3527292.2759612193,15.0,0.0,0.0,120000,362.46036989359067,1159.4663617578542,2310660.580829462,10.0,15000,0.55,120000,338.29490561645997,1149.675015325143,1423556.1995866778,10.0,35000,0.78,120000
8,-0.0015552737915434,-0.0006574612463339,-0.0002108390451551,-0.0002014382340991,-0.0043609662609889,-0.000224753155698,-0.0033604358387467,-7.967434558832416e-05,-0.0014714495584608,-0.0002419458510034,336.22123432551246,1126.24804870897,1376502.2728444354,10.0,35000,0.78,25000,386.87682910496085,1272.661456070684,3526074.0182837932,15.0,0.0,0.0,120000,362.50124287303714,1158.9125366281708,2310207.612749086,10.0,15000,0.55,120000,338.26555886868834,1149.8609634720603,1424577.3716155733,10.0,35000,0.78,120000
9,-0.0016044856997773,-0.000736816204082,-0.0002416414016713,-0.00023564671677,-0.004517977380257,-0.000253568610783,-0.0035152878471235,-0.0001024760867869,-0.0015425642997281,-0.0002775072636954,336.1831335657169,1126.0565146474103,1376672.353325364,10.0,35000,0.78,25000,386.7352373864242,1273.2199011586338,3525516.646658315,15.0,0.0,0.0,120000,362.50452921115294,1158.3782656801661,2308497.3967873123,10.0,15000,0.55,120000,338.33340351276195,1150.812567829452,1424141.1267379972,10.0,35000,0.78,120000
10,-0.00165896937925,-0.0007727035036931,-0.0002777087024092,-0.0002708970706027,-0.0046807859117183,-0.0002832504628054,-0.0036393723984512,-0.0001096570117647,-0.0016145867818735,-0.0003154358486981,336.2827047885274,1126.7423261721497,1376338.57975497,10.0,35000,0.78,25000,386.8867423792552,1272.1372802667672,3525790.28803049,15.0,0.0,0.0,120000,362.5607712108947,1160.125231732697,2308604.1690658,10.0,15000,0.55,120000,338.30677356622977,1150.3292620233726,1423690.3929251204,10.0,35000,0.78,120000
11,-0.0017315141317875,-0.000841086694184,-0.0003040347974277,-0.0002991970784827,-0.0048386143869646,-0.0003044323768,-0.00378729467068,-0.0001122418545374,-0.0016908705818043,-0.0003295132401723,336.3340562931066,1127.1725236445964,1376491.333157886,10.0,35000,0.78,25000,386.7411158710105,1274.267941487646,3523321.7052190523,15.0,0.0,0.0,120000,362.4813185063264,1159.5356928777442,2310097.265286968,10.0,15000,0.55,120000,338.23727010805163,1150.3057147009558,1421970.0220247363,10.0,35000,0.78,120000
12,-0.0017999204962625,-0.0008629536606877,-0.0003566562642203,-0.0003401840985528,-0.004992153516704,-0.0003184924490831,-0.0039182912032256,-0.0001326192525323,-0.0017576421642334,-0.0003375222503844,336.3381266177584,1126.6001373671654,1375519.9684683313,10.0,35000,0.78,25000,386.83180922107397,1274.9034603280284,3522123.224270303,15.0,0.0,0.0,120000,362.55278433262595,1159.984409213582,2309219.514845997,10.0,15000,0.55,120000,338.38997453859173,1150.8541727888216,1422667.3578528713,10.0,35000,0.78,120000
