,sample_id,deg_CmpBst_s_mapEff_in,deg_CmpBst_s_mapWc_in,deg_CmpFan_s_mapEff_in,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_CmpH_s_mapWc_in,deg_TrbH_s_mapEff_in,deg_TrbH_s_mapWc_in,deg_TrbL_s_mapEff_in,deg_TrbL_s_mapWc_in,CRUISE_DECKSMRHPC_Tin,CRUISE_DECKSMRLPT_Tin,CRUISE_DECKSMRHPC_Pout_st,CRUISE_DTAMB,CRUISE_ALT,CRUISE_MACH,CRUISE_COMMAND,TAKEOFF_DECKSMRHPC_Tin,TAKEOFF_DECKSMRLPT_Tin,TAKEOFF_DECKSMRHPC_Pout_st,TAKEOFF_DTAMB,TAKEOFF_ALT,TAKEOFF_MACH,TAKEOFF_COMMAND,CLIMB1_DECKSMRHPC_Tin,CLIMB1_DECKSMRLPT_Tin,CLIMB1_DECKSMRHPC_Pout_st,CLIMB1_DTAMB,CLIMB1_ALT,CLIMB1_MACH,CLIMB1_COMMAND,CLIMB2_DECKSMRHPC_Tin,CLIMB2_DECKSMRLPT_Tin,CLIMB2_DECKSMRHPC_Pout_st,CLIMB2_DTAMB,CLIMB2_ALT,CLIMB2_MACH,CLIMB2_COMMAND
0,0,-0.030386978024277984,0.001648897248198368,-0.048429298959955694,-0.02015789442324749,-0.047547088673943826,-0.028380497881309405,-0.020380569850995178,-0.043786064305276956,-0.026064056816337774,-0.017450385937895573,344.207358,1210.10833,1447792.06,10.0,35000,0.78,25000,392.344026,1364.79182,3611840.89,15.0,0.0,0.0,120000,367.95219,1240.34174,2336679.49,10.0,15000,0.55,120000,344.39792,1212.40849,1453134.61,10.0,35000,0.78,120000
1,1,-0.031185399012116293,0.025258588008921126,-0.03882193256004034,0.01734179070938334,-0.03072170709941367,0.016218209022572178,-0.03077729239350792,-0.018063817256104175,-0.019413815585996294,0.021368335600877947,336.915682,1197.86824,1400927.8,10.0,35000,0.78,25000,391.633121,1380.39689,3786613.28,15.0,0.0,0.0,120000,366.885837,1268.79319,2510064.71,10.0,15000,0.55,120000,343.039933,1264.85236,1558941.81,10.0,35000,0.78,120000
2,2,-0.002379043870042688,-0.027883620774503896,-0.04448534901219745,-0.04911449689705776,-0.048889191748536884,-0.016555710966281577,-0.04623336050186352,0.04895619623421277,-0.035077144746033774,0.015316951046757551,347.335679,1240.38344,1305340.49,10.0,35000,0.78,25000,389.508081,1379.19415,3056822.61,15.0,0.0,0.0,120000,365.564913,1242.44306,1931261.47,10.0,15000,0.55,120000,342.139655,1205.3279,1196709.17,10.0,35000,0.78,120000
3,3,-0.00587238107795391,0.023625992214052635,-0.04566291267906908,-0.0166963677648279,-0.031234777905637907,0.013048422912732574,-0.02956496075266774,-0.03547570492622594,-0.049613454674525444,-0.0016698139946825091,341.479824,1201.15183,1460307.2,10.0,35000,0.78,25000,390.889761,1360.4231,3699708.21,15.0,0.0,0.0,120000,366.739484,1238.17498,2401608.13,10.0,15000,0.55,120000,342.968301,1213.636,1498522.98,10.0,35000,0.78,120000
4,4,-0.004718575959436165,-0.004266142556846271,-0.04735013255100113,-0.03744989331310564,-0.0079161299006976,0.005356188514002554,-0.04219373918951509,-0.048288328103930245,-0.04184124775198749,-0.018139752483609314,344.575697,1194.34236,1477910.2,10.0,35000,0.78,25000,389.643387,1333.98908,3555880.95,15.0,0.0,0.0,120000,365.747881,1205.53055,2272243.74,10.0,15000,0.55,120000,342.019341,1174.63079,1413266.94,10.0,35000,0.78,120000
5,5,-0.042099954101237555,-0.022005889815800806,-0.04939346218875107,-0.016131880685273624,-0.03785258268931317,-0.023424583224817577,-0.01322945788776917,0.016431258804047097,-0.03306989849906383,0.009885469926464031,339.498056,1206.57795,1369457.75,10.0,35000,0.78,25000,389.13033,1353.76422,3478271.56,15.0,0.0,0.0,120000,364.794393,1229.1377,2258251.69,10.0,15000,0.55,120000,340.490286,1221.81822,1395337.84,10.0,35000,0.78,120000
6,6,-0.03983420148089524,0.0120231230350855,-0.010782618053240593,0.005388000914067166,-0.019317359160000293,-0.0224428635205264,-0.03177960358037271,0.0066960499019373815,-0.04701540891728397,-0.0024367173892323596,339.363428,1202.77534,1363920.49,10.0,35000,0.78,25000,392.154852,1374.83953,3584903.58,15.0,0.0,0.0,120000,367.44735,1258.43305,2358872.81,10.0,15000,0.55,120000,343.759501,1250.03843,1463826.5,10.0,35000,0.78,120000
7,7,-0.018607292336409766,0.007273177085020288,-0.0009267015366340864,0.02261284841130773,-0.019529151370844534,-0.010225107113617599,-0.015646796878883346,0.0273380834852731,-0.037278516076170644,-0.01478389820910641,334.110368,1189.89962,1314619.67,10.0,35000,0.78,25000,388.967184,1369.15759,3555007.84,15.0,0.0,0.0,120000,364.179557,1259.58741,2362016.64,10.0,15000,0.55,120000,340.568881,1267.10409,1456129.97,10.0,35000,0.78,120000
8,8,-0.011332156770163693,0.006474890510847944,-0.017407010192333018,-0.00373357833592617,-0.02551135603656693,-0.0012720382886205195,-0.01536117967529823,0.038538122769748606,-0.034080635889516805,-0.041501044775103364,340.41957,1203.39361,1295153.81,10.0,35000,0.78,25000,390.963757,1370.1632,3315074.89,15.0,0.0,0.0,120000,366.369231,1250.78802,2167103.66,10.0,15000,0.55,120000,342.607287,1222.29056,1347635.42,10.0,35000,0.78,120000
9,9,-0.012076156051356583,-0.016157056300062186,-0.028723078137787017,-0.019104816980877185,-0.0011507560445739376,0.02389577392550489,-0.0281809063052767,0.002912350080683898,-0.008059002951060254,-0.021961897664549514,340.919001,1171.07451,1356974.92,10.0,35000,0.78,25000,388.728633,1318.21067,3356102.21,15.0,0.0,0.0,120000,364.484354,1196.44048,2170442.12,10.0,15000,0.55,120000,340.236684,1167.40036,1344608.33,10.0,35000,0.78,120000
10,10,-0.00045429034535380414,-0.0185597657070486,-0.006632934980729761,-0.03397534110187818,-0.043889375451982904,0.0014264878486727958,-0.045724680751071896,0.04672775843815484,-0.02954819548107675,0.01609739760345616,345.862044,1224.82291,1284014.57,10.0,35000,0.78,25000,390.035683,1371.87581,3078754.91,15.0,0.0,0.0,120000,365.844691,1241.44339,1966374.41,10.0,15000,0.55,120000,342.526907,1203.92534,1218067.65,10.0,35000,0.78,120000
11,11,-0.03772788814491681,-0.014161890691836189,-0.015152978312075328,0.02313662434484648,-0.03658838639146962,0.0005147085727261053,-0.04837925976491761,0.04728053704404907,-0.019716046519887554,-0.005627308840702436,335.975536,1255.25346,1239041.14,10.0,35000,0.78,25000,391.253761,1450.10552,3353821.41,15.0,0.0,0.0,120000,366.041393,1334.43296,2225861.25,10.0,15000,0.55,120000,341.659253,1313.36755,1381836.28,10.0,35000,0.78,120000
12,12,-0.010792048984456362,0.018280122718756148,-0.02804222216056995,0.028867354078263505,-0.04402080708693095,-0.04799519265539562,-0.0351649306061664,-0.02114452418886605,-0.013051701483861276,0.030412355427822294,333.710582,1215.74634,1381132.92,10.0,35000,0.78,25000,389.311065,1398.8982,3817187.49,15.0,0.0,0.0,120000,364.426157,1288.09921,2546878.47,10.0,15000,0.55,120000,342.071246,1317.35132,1559160.43,10.0,35000,0.78,120000
13,13,-0.02208529648426845,-0.02434009609470144,-0.0377905305698502,-0.04947749584362787,-0.00629545774574071,0.02998175690317624,-0.017479279606620726,0.0035176965630571017,-0.0003913676136251404,0.005917270000077565,346.890474,1145.60184,1405431.26,10.0,35000,0.78,25000,389.254357,1263.97691,3251072.29,15.0,0.0,0.0,120000,365.544705,1135.72994,2056771.27,10.0,15000,0.55,120000,341.544266,1103.27992,1273691.78,10.0,35000,0.78,120000
14,14,-0.0007433291654190752,-0.008792565595483616,-0.00196891322748749,-0.039257382441900864,-0.018736744700528475,-0.023813580530473517,-0.019165784498671276,-0.04152067240247154,-0.027719455730152526,0.04497838792011968,342.647984,1134.59399,1501285.65,10.0,35000,0.78,25000,387.030693,1251.17776,3575126.44,15.0,0.0,0.0,120000,363.464898,1126.23309,2282615.25,10.0,15000,0.55,120000,339.108727,1101.20108,1414573.59,10.0,35000,0.78,120000
15,15,-0.048913145962097185,0.029283071382528197,-0.023070124544499304,-0.04324322891483124,-0.028054287870567726,-0.03853779207443185,-0.04064061689191951,0.02334057736530809,-0.021363497307143445,-0.04876864749191766,361.885798,1252.82262,1310886.66,10.0,35000,0.78,25000,401.130282,1385.66055,3064916.3,15.0,0.0,0.0,120000,376.450045,1250.53577,1946344.36,10.0,15000,0.55,120000,356.175665,1217.02581,1207996.78,10.0,35000,0.78,120000
16,16,-0.03505387047297795,-0.04593280947611009,-0.0046151069954474405,-0.027629930044940944,-0.023777426234695743,0.006503262172910043,-0.04391489487156621,-0.0348082514720643,-0.032158569446411364,-0.0049528993950697445,342.888258,1211.5117,1402050.2,10.0,35000,0.78,25000,389.129732,1355.5476,3412580.24,15.0,0.0,0.0,120000,364.77149,1227.77323,2191521.67,10.0,15000,0.55,120000,340.410677,1196.58299,1353614.76,10.0,35000,0.78,120000
17,17,-0.03414545891907006,-0.020012045703385373,-0.021127982545283804,-0.04674883485603917,-0.002582303908791009,0.02356407150448614,-0.04671754853000152,7.624435944167396e-06,-0.005445838633127462,-0.04574860801945695,354.537628,1216.25573,1336925.95,10.0,35000,0.78,25000,394.410874,1345.74241,3081608.77,15.0,0.0,0.0,120000,370.006218,1214.92865,1946995.26,10.0,15000,0.55,120000,347.770146,1176.64954,1203966.05,10.0,35000,0.78,120000
18,18,-0.022945396245439266,-0.04831475731175829,-0.013759429180193225,-0.047852743241464636,-0.014886006216055493,-0.027329329010534215,-0.003186828864436851,0.041905533331938485,-0.00937339480567452,-0.030262460515922865,346.113072,1157.90675,1318171.22,10.0,35000,0.78,25000,388.161197,1277.70671,3034453.05,15.0,0.0,0.0,120000,364.217367,1147.75724,1920389.66,10.0,15000,0.55,120000,339.898508,1112.80928,1186164.75,10.0,35000,0.78,120000
19,19,-0.046968406575266894,-0.03499277646000455,-0.04156137896620574,-0.012264890137699928,-0.012576642158312244,-0.03734341464652619,-0.026299691395760424,-0.004874562040837464,-0.03859821733285729,0.02568967632709991,337.813897,1223.47361,1395216.24,10.0,35000,0.78,25000,387.460746,1353.8326,3608848.14,15.0,0.0,0.0,120000,362.744252,1220.55817,2358369.03,10.0,15000,0.55,120000,339.500632,1250.90169,1433822.38,10.0,35000,0.78,120000
20,20,-0.028888702419120588,-0.002777461140848772,-0.042750370593101175,-0.004515118002040998,-0.0355069681438541,-0.040583724823999086,-0.047565911108893265,-0.03667765867361286,-0.007060916252314267,-0.01350632993162064,341.838796,1229.8767,1390802.67,10.0,35000,0.78,25000,392.330139,1398.91022,3566978.12,15.0,0.0,0.0,120000,367.582165,1277.17258,2329345.37,10.0,15000,0.55,120000,344.060192,1249.60697,1446681.21,10.0,35000,0.78,120000
21,21,-0.043347131217821445,0.01433510671262328,-0.044599887825830034,0.02695670037905419,-0.0448577035648079,0.021408812796867557,-6.552887577865318e-05,-0.0011237538036503458,-0.03296378127550326,0.03660242180617505,333.438179,1208.93363,1395859.43,10.0,35000,0.78,25000,389.654786,1389.03397,3892860.58,15.0,0.0,0.0,120000,364.778455,1279.09412,2599308.0,10.0,15000,0.55,120000,342.194062,1330.4349,1586403.93,10.0,35000,0.78,120000
22,22,-0.049150474345890476,0.009609132763718775,-0.007331432106381791,-0.04436449860563758,-0.034143223113441035,0.011660153256550378,-0.023512429745693134,-0.03255519804232683,-0.02681698755584054,-0.0031058974037507514,355.24369,1187.59336,1446042.75,10.0,35000,0.78,25000,396.649375,1317.63612,3375925.45,15.0,0.0,0.0,120000,372.462045,1189.18411,2142577.42,10.0,15000,0.55,120000,350.141709,1154.3243,1330239.15,10.0,35000,0.78,120000
23,23,-0.03707016979853196,0.002464708544546959,-0.013483115956071594,-0.0248768340425875,-0.03546651161080011,-0.04264348873249038,-0.016233690800777648,0.024215236550747823,-0.029008918391988495,0.04589085600323427,344.209859,1169.29578,1379063.75,10.0,35000,0.78,25000,391.270082,1304.66956,3410509.59,15.0,0.0,0.0,120000,367.162634,1180.80315,2199328.34,10.0,15000,0.55,120000,343.423705,1162.21072,1363092.14,10.0,35000,0.78,120000
24,24,-0.010414714307441363,0.02616254632933987,-0.043116320370983216,-0.01442461567247924,-0.011303007910350008,-0.025094191163020814,-0.011301553578669368,0.031587428430726316,-0.03468709202170359,-0.02742588208637351,341.898873,1172.47071,1355796.42,10.0,35000,0.78,25000,391.294831,1328.06454,3420414.19,15.0,0.0,0.0,120000,367.054248,1207.66868,2224396.14,10.0,15000,0.55,120000,343.311958,1183.80152,1387808.79,10.0,35000,0.78,120000
25,25,-0.04282596551278999,-0.013093992505401858,-0.01672694844103815,-0.03579827165036109,-0.007118331181498787,0.008603188575805241,-0.011908284381711959,-0.04010527807985413,-0.03003327942847759,0.020405566336243547,344.31155,1143.27889,1498371.51,10.0,35000,0.78,25000,389.858931,1263.67451,3607918.49,15.0,0.0,0.0,120000,366.013287,1138.95854,2311539.63,10.0,15000,0.55,120000,341.545853,1117.74645,1431023.52,10.0,35000,0.78,120000
26,26,-0.040573086622096355,0.010140268647634919,-0.014655167336962038,-0.010915097546376921,-0.033960485236243725,-0.04853242537818823,-0.03564236004116897,-0.022153613395192062,-0.02705774503183268,0.04797885198366357,342.733638,1188.75061,1429457.5,10.0,35000,0.78,25000,392.229052,1337.82827,3648208.23,15.0,0.0,0.0,120000,367.858244,1217.82699,2372798.1,10.0,15000,0.55,120000,344.614707,1208.13623,1467663.45,10.0,35000,0.78,120000
