Unnamed: 0,sample_id,deg_CmpBst_s_mapEff_in,deg_CmpBst_s_mapWc_in,deg_CmpFan_s_mapEff_in,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_CmpH_s_mapWc_in,deg_TrbH_s_mapEff_in,deg_TrbH_s_mapWc_in,deg_TrbL_s_mapEff_in,deg_TrbL_s_mapWc_in,CRUISE_DECKSMRHPC_Tin,CRUISE_DECKSMRLPT_Tin,CRUISE_DECKSMRHPC_Pout_st,CRUISE_DTAMB,CRUISE_ALT,CRUISE_MACH,CRUISE_COMMAND,TAKEOFF_DECKSMRHPC_Tin,TAKEOFF_DECKSMRLPT_Tin,TAKEOFF_DECKSMRHPC_Pout_st,TAKEOFF_DTAMB,TAKEOFF_ALT,TAKEOFF_MACH,TAKEOFF_COMMAND,CLIMB1_DECKSMRHPC_Tin,CLIMB1_DECKSMRLPT_Tin,CLIMB1_DECKSMRHPC_Pout_st,CLIMB1_DTAMB,CLIMB1_ALT,CLIMB1_MACH,CLIMB1_COMMAND,CLIMB2_DECKSMRHPC_Tin,CLIMB2_DECKSMRLPT_Tin,CLIMB2_DECKSMRHPC_Pout_st,CLIMB2_DTAMB,CLIMB2_ALT,CLIMB2_MACH,CLIMB2_COMMAND
0,0,-0.0303869780242779,0.0016488972481983,-0.0484292989599556,-0.0201578944232474,-0.0475470886739438,-0.0283804978813094,-0.0203805698509951,-0.0437860643052769,-0.0260640568163377,-0.0174503859378955,344.17842798740156,1210.238500109104,1447357.8077586798,10.0,35000,0.78,25000,392.31008169241886,1365.5513817552232,3609414.210756607,15.0,0.0,0.0,120000,368.06248650413625,1240.0753508242124,2338170.8796261246,10.0,15000,0.55,120000,344.3511283065799,1212.8509111455378,1454138.663897879,10.0,35000,0.78,120000
1,1,-0.0311853990121162,0.0252585880089211,-0.0388219325600403,0.0173417907093833,-0.0307217070994136,0.0162182090225721,-0.0307772923935079,-0.0180638172561041,-0.0194138155859962,0.0213683356008779,336.9086785639906,1198.2855083900681,1400426.2477329005,10.0,35000,0.78,25000,391.67949412158794,1379.333970137294,3786357.660629469,15.0,0.0,0.0,120000,366.8455686740967,1268.2654681941947,2510067.555915897,10.0,15000,0.55,120000,343.1595512632969,1265.0555134306,1558550.910206245,10.0,35000,0.78,120000
2,2,-0.0023790438700426,-0.0278836207745038,-0.0444853490121974,-0.0491144968970577,-0.0488891917485368,-0.0165557109662815,-0.0462333605018635,0.0489561962342127,-0.0350771447460337,0.0153169510467575,347.42286461125616,1239.788160751346,1305731.9844023748,10.0,35000,0.78,25000,389.5828632068517,1379.728573834776,3056852.293230303,15.0,0.0,0.0,120000,365.63577795232385,1242.6316231967041,1930488.7612857528,10.0,15000,0.55,120000,342.1630769559723,1204.6089193131795,1196754.660080631,10.0,35000,0.78,120000
3,3,-0.0058723810779539,0.0236259922140526,-0.045662912679069,-0.0166963677648279,-0.0312347779056379,0.0130484229127325,-0.0295649607526677,-0.0354757049262259,-0.0496134546745254,-0.0016698139946825,341.4596556980949,1200.1752038389805,1460772.0816196399,10.0,35000,0.78,25000,390.97280862440743,1361.1762424248345,3698870.693277175,15.0,0.0,0.0,120000,366.8438396679794,1237.7355028079678,2401293.371853282,10.0,15000,0.55,120000,342.95155046190337,1213.7446210777582,1499673.1855425467,10.0,35000,0.78,120000
4,4,-0.0047185759594361,-0.0042661425568462,-0.0473501325510011,-0.0374498933131056,-0.0079161299006976,0.0053561885140025,-0.042193739189515,-0.0482883281039302,-0.0418412477519874,-0.0181397524836093,344.6077997344636,1194.516884281556,1477476.3728351977,10.0,35000,0.78,25000,389.65236447423194,1333.9743044111412,3556593.214635471,15.0,0.0,0.0,120000,365.711120152195,1205.2739422411257,2272669.8866396905,10.0,15000,0.55,120000,342.11731156711943,1173.8082209179431,1414279.6790539564,10.0,35000,0.78,120000
5,5,-0.0420999541012375,-0.0220058898158008,-0.049393462188751,-0.0161318806852736,-0.0378525826893131,-0.0234245832248175,-0.0132294578877691,0.016431258804047,-0.0330698984990638,0.009885469926464,339.57849054840113,1206.6334937870247,1369347.4355944535,10.0,35000,0.78,25000,389.0804639265612,1354.048828378723,3479083.901329977,15.0,0.0,0.0,120000,364.76694524519024,1229.594269635877,2257495.252790601,10.0,15000,0.55,120000,340.55365093225276,1221.3241611564088,1396856.7056236316,10.0,35000,0.78,120000
6,6,-0.0398342014808952,0.0120231230350855,-0.0107826180532405,0.0053880009140671,-0.0193173591600002,-0.0224428635205264,-0.0317796035803727,0.0066960499019373,-0.0470154089172839,-0.0024367173892323,339.3514445609261,1202.985224611793,1364143.109481964,10.0,35000,0.78,25000,392.10386924645394,1373.9923966743572,3585157.3964765496,15.0,0.0,0.0,120000,367.4483657999117,1259.2594044897205,2359426.6661660033,10.0,15000,0.55,120000,343.8356841888239,1250.4378220627475,1463960.5267927467,10.0,35000,0.78,120000
7,7,-0.0186072923364097,0.0072731770850202,-0.000926701536634,0.0226128484113077,-0.0195291513708445,-0.0102251071136175,-0.0156467968788833,0.0273380834852731,-0.0372785160761706,-0.0147838982091064,334.0733273113354,1189.4170838284333,1314651.3608056363,10.0,35000,0.78,25000,388.947603009464,1369.3420205311766,3555410.9259612192,15.0,0.0,0.0,120000,364.15212489359067,1260.4246217578543,2362110.100829462,10.0,15000,0.55,120000,340.57774061645995,1266.8911953251431,1455581.0495866777,10.0,35000,0.78,120000
8,8,-0.0113321567701636,0.0064748905108479,-0.017407010192333,-0.0037335783359261,-0.0255113560365669,-0.0012720382886205,-0.0153611796752982,0.0385381227697486,-0.0340806358895168,-0.0415010447751033,340.4061053255125,1203.48423870897,1295233.6428444355,10.0,35000,0.78,25000,391.07379210496083,1370.585186070684,3314733.6282837936,15.0,0.0,0.0,120000,366.36447087303713,1250.7361066281708,2167097.3527490865,10.0,15000,0.55,120000,342.57383186868833,1222.1256334720604,1348214.9616155731,10.0,35000,0.78,120000
9,9,-0.0120761560513565,-0.0161570563000621,-0.028723078137787,-0.0191048169808771,-0.0011507560445739,0.0238957739255048,-0.0281809063052767,0.0029123500806838,-0.0080590029510602,-0.0219618976645495,340.85621756571686,1170.7243146474102,1357333.343325364,10.0,35000,0.78,25000,388.68536138642423,1318.7846311586336,3355857.0066583147,15.0,0.0,0.0,120000,364.47201321115296,1195.480215680166,2169204.7667873125,10.0,15000,0.55,120000,340.266387512762,1168.0198478294521,1344930.9067379972,10.0,35000,0.78,120000
